scenario,counterparty,netting_set,time_years,ee,pfe_95,default_weighted_ee,default_weighted_pfe_95,mean_hazard,mean_default_probability
moderate,Fund C,NS_FUND_C,1.25,229427.24483315897,1177736.2018800867,262299.7598755556,1288697.041373607,0.02228941704018737,0.0054002039612639306
moderate,Fund C,NS_FUND_C,1.5,263196.8941117645,1344501.197910574,304786.82892370265,1500000.3875720613,0.02258409908181461,0.005435448912361682
moderate,Fund C,NS_FUND_C,1.75,292869.7303828418,1506072.6282566132,343046.94327770296,1719021.6625489683,0.02280995564516219,0.005465294525251227
moderate,Fund C,NS_FUND_C,2.0,143341.88452751466,804512.3718165638,160598.12449332225,885185.3325481269,0.022972631008702324,0.005478625908831728
moderate,Fund C,NS_FUND_C,2.25,160414.57430000472,867597.830061485,179804.10643925567,973427.9201866227,0.02310803726335582,0.005480991402956906
moderate,Fund C,NS_FUND_C,2.5,178445.74547899203,946407.4888318048,200108.8105701026,1066977.2527322548,0.02328461115008804,0.0054848693123887475
moderate,Fund C,NS_FUND_C,2.75,193487.20039909636,1045239.5840736971,217205.20636294794,1139139.6038341657,0.02342442510979073,0.005488748403419261
moderate,Fund C,NS_FUND_C,3.0,210245.24681312442,1152307.3390684824,236615.21254048558,1247014.887844387,0.023557554752888357,0.005487321929463548
moderate,Fund C,NS_FUND_C,3.25,230561.58512427178,1240829.27877644,260175.01684861284,1359374.5059349877,0.023637615951954436,0.005478833474711455
moderate,Fund C,NS_FUND_C,3.5,246761.59900311637,1331880.3058772779,278200.48903848854,1474789.5768865158,0.023714669065702885,0.005463671564053154
moderate,Fund C,NS_FUND_C,3.75,263437.036406516,1474421.1905309889,297494.5633603448,1599684.7354884832,0.023808532221538403,0.005450185179139263
moderate,Fund C,NS_FUND_C,4.0,286171.09900338476,1586894.428530865,323718.36280657427,1760130.7247761884,0.02389001957517724,0.0054371361916398155
moderate,Fund C,NS_FUND_C,4.25,298565.62191771314,1721923.9400041278,337699.5857185594,1862188.9417465609,0.023975564238917734,0.0054229097662929025
moderate,Fund C,NS_FUND_C,4.5,315088.1085687162,1845712.2794872408,356816.5020588128,2009202.333154671,0.02394381980565308,0.005396256782762363
moderate,Fund C,NS_FUND_C,4.75,329652.4982318342,1973392.5128042751,376328.51093127485,2140865.088543527,0.023969486148844345,0.005363165573664659
moderate,Fund C,NS_FUND_C,5.0,0.0,0.0,0.0,0.0,0.02390858269704448,0.005326613043364243
severe,Bank A,NS_BANK_A,0.0,60152.171072654375,60152.171072654375,60152.171072654375,60152.171072654375,0.015,0.0
severe,Bank A,NS_BANK_A,0.25,336510.5660280384,1389568.5324637743,372278.52242614684,1459021.714555302,0.015513981219374666,0.0038068761089476025
severe,Bank A,NS_BANK_A,0.5,461136.1851544423,1992157.0917140457,563674.5327002681,2234670.558172798,0.015903940775493133,0.003903760218487667
